"point_id","date","studyarea","time","lat","long","response","nudds","perc_bare","perc_ll","perc_grass","perc_forb","perc_vine","perc_Rubus"
"bird703_13_july","13_jul","moshannon",1542,40.84105,-78.11437,0,15,0,15,0,0,0,40
"bird703_13_july","13_jul","moshannon",2125,40.84379,-78.11314,1,20,0,55,0,0,0,0
"bird703_13_july","13_jul","moshannon",2125,40.843324,-78.112292,0,20,100,0,0,0,0,0
"bird703_14_july","14_jul","moshannon",1559,40.83984,-78.11443,1,20,0,15,0,0,0,0
"bird703_14_july","14_jul","moshannon",1559,40.84128,-78.11463,0,12,0,60,0,5,0,30
"bird703_15_july","15_jul","moshannon",1653,40.840099,-78.114513,1,12,0,80,0,0,0,0
"bird703_15_july","15_jul","moshannon",1653,40.83998,-78.11436,0,10,0,40,0,0,0,0
"bird732_11_june","11_jun","moshannon",1904,40.85201,-78.11589,1,20,0,60,0,0,0,0
"bird732_11_june","11_jun","moshannon",1904,40.852334,-78.113984,0,20,10,65,0,5,0,5
"bird732_13_june","13_jun","moshannon",2016,40.851895,-78.115495,1,20,5,40,0,40,0,15
"bird732_13_june","13_jun","moshannon",2016,40.85197,-78.11515,0,20,0,95,0,0,0,0
"bird732_14_june","14_jun","moshannon",1801,40.85138,-78.11545,1,20,0,30,0,0,0,0
"bird732_14_june","14_jun","moshannon",1801,40.852072,-78.1155,0,8,0,0,0,0,0,100
"bird732_16_june","16_jun","moshannon",2220,40.851428,-78.11785,1,11,60,0,0,0,0,0
"bird732_16_june","16_jun","moshannon",2220,40.851106,-78.115534,0,20,0,55,0,5,0,0
"bird732_20_june","20_jun","moshannon",1852,40.854906,-78.120912,1,9,30,5,5,15,0,0
"bird732_20_june","20_jun","moshannon",1852,40.857317,-78.120501,0,7,0,50,0,5,0,0
"bird732_23_june","23_jun","moshannon",1645,40.854827,-78.120694,1,2,0,15,0,0,0,0
"bird732_23_june","23_jun","moshannon",1645,40.853708,-78.120845,0,7,0,85,0,10,0,0
"bird732_24_june","24_jun","moshannon",2210,40.8513,-78.11671,1,20,0,25,0,5,0,10
"bird732_24_june","24_jun","moshannon",2210,40.853302,-78.117822,0,9,0,65,0,5,0,0
"bird732_28_june","28_jun","moshannon",2046,40.85185,-78.11561,1,20,5,40,0,40,0,15
"bird732_28_june","28_jun","moshannon",2046,40.852172,-78.116227,0,20,0,0,0,75,0,0
"bird732_29_june","29_jun","moshannon",1734,40.851872,-78.115486,1,20,0,0,0,0,0,100
"bird732_29_june","29_jun","moshannon",1734,40.852332,-78.114264,0,20,5,70,0,0,0,0
"bird732_2_july","2_jul","moshannon",1840,40.85201,-78.11589,1,20,0,60,0,0,0,0
"bird732_2_july","2_jul","moshannon",1840,40.852245,-78.11577,0,20,15,30,0,0,0,10
"bird732_2_july","2_jul","moshannon",2228,40.85152,-78.1193,1,12,5,65,0,15,0,0
"bird732_2_july","2_jul","moshannon",2228,40.852025,-78.117639,0,0,0,0,0,0,0,0
"bird732_3_july","3_jul","moshannon",2119,40.8504,-78.11795,1,5,0,65,0,5,0,0
"bird732_3_july","3_jul","moshannon",2119,40.849955,-78.118696,0,20,0,60,0,0,0,0
"bird732_6_july","6_jul","moshannon",1704,40.850996,-78.11515,1,20,0,30,0,25,0,5
"bird732_6_july","6_jul","moshannon",1704,40.850164,-78.116712,0,17,0,50,0,30,0,0
"bird830_5_june","5_jun","moshannon",1706,40.865104,-78.057778,1,20,0,0,0,0,0,0
"bird830_5_june","5_jun","moshannon",1706,40.864054,-78.05873,0,4,0,0,0,95,0,0
"bird830_6_june","6_jun","moshannon",1921,40.865111,-78.057783,1,20,0,0,0,0,0,0
"bird830_6_june","6_jun","moshannon",1921,40.864498,-78.058125,0,20,0,65,0,0,0,0
"bird830_9_june","9_jun","moshannon",2103,40.865178,-78.057433,1,19,0,20,0,0,0,0
"bird830_9_june","9_jun","moshannon",2103,40.86665,-78.05688,0,14,0,100,0,0,0,0
"bird830_10_june","10_jun","moshannon",1524,40.867476,-78.060285,1,20,35,0,10,50,0,0
"bird830_10_june","10_jun","moshannon",1524,40.866308,-78.061402,0,12,0,85,0,10,0,0
"bird830_11_june","11_jun","moshannon",2018,40.867534,-78.060756,1,2,0,40,35,5,0,0
"bird830_11_june","11_jun","moshannon",2018,40.867531,-78.060522,0,20,0,15,0,0,0,0
"bird830_12_june","12_jun","moshannon",1821,40.865112,-78.058014,1,20,0,20,0,0,0,0
"bird830_12_june","12_jun","moshannon",1821,40.866211,-78.059641,0,20,100,0,0,0,0,0
"bird830_16_june","16_jun","moshannon",1950,40.865132,-78.05778,1,20,0,50,0,0,0,0
"bird830_16_june","16_jun","moshannon",1950,40.864688,-78.054382,0,7,0,0,95,5,0,0
"bird830_20_june","20_jun","moshannon",1632,40.865068,-78.057884,1,19,0,50,0,10,0,0
"bird830_20_june","20_jun","moshannon",1632,40.863994,-78.058457,0,19,0,50,0,15,0,5
"bird830_20_june","20_jun","moshannon",2015,40.865055,-78.057935,1,19,0,50,0,10,0,0
"bird830_20_june","20_jun","moshannon",2015,40.866842,-78.0572,0,1,0,100,0,0,0,0
"bird830_21_june","21_jun","moshannon",2001,40.85616,-78.05787,1,12,0,30,0,0,0,0
"bird830_21_june","21_jun","moshannon",2001,40.864844,-78.055822,0,7,95,0,0,5,0,0
"bird830_22_june","22_jun","moshannon",1818,40.865219,-78.057838,1,12,0,60,10,15,0,0
"bird830_22_june","22_jun","moshannon",1818,40.867381,-78.05694,0,16,0,50,0,0,0,0
"bird830_26_june","26_jun","moshannon",2050,40.865075,-78.057906,1,19,0,50,0,10,0,0
"bird830_26_june","26_jun","moshannon",2050,40.86495,-78.056661,0,12,0,0,0,0,0,0
"bird830_1_july","1_jul","moshannon",2058,40.865128,-78.05752,1,20,0,60,0,0,0,0
"bird830_1_july","1_jul","moshannon",2058,40.86346,-78.05577,0,5,0,10,5,0,0,15
"bird830_2_july","2_jul","moshannon",2108,40.86609,-78.05939,1,20,0,30,0,5,0,0
"bird830_2_july","2_jul","moshannon",2108,40.865194,-78.061243,0,20,0,90,0,0,0,0
"bird830_2_july","2_jul","moshannon",1645,40.865181,-78.059667,0,20,0,40,0,0,0,0
"bird830_3_july","3_jul","moshannon",2004,40.864084,-78.054293,1,17,0,45,0,5,0,5
"bird830_3_july","3_jul","moshannon",2004,40.863976,-78.052592,0,3,0,5,0,10,0,0
"bird830_5_july","5_jul","moshannon",1620,40.86413,-78.05417,1,17,0,45,0,5,0,5
"bird830_5_july","5_jul","moshannon",1620,40.863684,-78.055418,0,20,0,25,0,5,0,0
"bird830_5_july","5_jul","moshannon",2043,40.86428,-78.05432,1,9,0,95,0,0,0,0
"bird830_5_july","5_jul","moshannon",2043,40.864547,-78.052684,0,4,0,80,0,0,0,0
"bird830_6_july","6_jul","moshannon",1750,40.86522,-78.05786,1,12,0,60,10,15,0,0
"bird830_6_july","6_jul","moshannon",1750,40.8661,-78.05798,0,20,0,0,0,0,0,0
"bird830_8_july","8_jul","moshannon",1531,40.865083,-78.05792,1,19,0,50,0,10,0,0
"bird830_8_july","8_jul","moshannon",1531,40.865221,-78.057794,0,20,0,40,25,5,0,0
"bird830_8_july","8_jul","moshannon",2033,40.865029,-78.058031,1,6,0,95,0,0,0,0
"bird830_8_july","8_jul","moshannon",2033,40.865956,-78.058662,0,20,0,25,0,0,0,0
"bird830_10_july","10_jul","moshannon",2022,40.86511,-78.05777,1,20,0,0,0,0,0,0
"bird830_10_july","10_jul","moshannon",2022,40.86436,-78.059536,0,20,0,0,0,25,0,0
"bird830_11_july","11_jul","moshannon",1741,40.865201,-78.057861,1,20,0,40,0,0,0,0
"bird830_11_july","11_jul","moshannon",1741,40.864785,-78.055956,0,0,0,95,5,0,0,0
"bird830_11_july","11_jul","moshannon",2251,40.86411,-78.05392,1,20,0,80,0,0,0,0
"bird830_11_july","11_jul","moshannon",2251,40.863963,-78.054741,0,17,0,55,0,0,0,0
"bird830_12_july","12_jul","moshannon",2030,40.864846,-78.059019,1,20,0,65,0,10,0,0
"bird830_12_july","12_jul","moshannon",2030,40.864916,-78.059765,0,20,0,55,0,0,0,0
"bird862_1_june","1_jun","moshannon",1919,40.840493,-78.10614,1,19,0,5,0,0,0,0
"bird862_1_june","1_jun","moshannon",1919,40.841214,-78.106277,0,20,0,5,0,0,0,35
"bird862_2_june","2_jun","moshannon",1914,40.84246,-78.10977,1,20,0,55,0,0,0,0
"bird862_2_june","2_jun","moshannon",1914,40.844199,-78.108322,0,12,10,85,0,0,0,0
"bird862_3_june","3_jun","moshannon",1956,40.842736,-78.109968,1,20,0,5,0,0,0,0
"bird862_3_june","3_jun","moshannon",1956,40.842362,-78.109404,0,20,0,0,0,0,0,0
"bird862_6_june","6_jun","moshannon",2036,40.842872,-78.108909,1,20,0,30,0,0,0,0
"bird862_6_june","6_jun","moshannon",2036,40.842408,-78.10917,0,9,0,0,0,0,0,0
"bird862_7_june","7_jun","moshannon",1625,40.84272,-78.108781,1,20,0,20,0,0,0,0
"bird862_7_june","7_jun","moshannon",1625,40.84751,-78.108669,0,20,0,5,0,0,0,0
"bird862_10_june","10_jun","moshannon",1829,40.842393,-78.109613,1,20,0,25,0,0,0,0
"bird862_10_june","10_jun","moshannon",1829,40.842043,-78.109868,0,20,0,0,0,0,0,0
"bird862_11_june","11_jun","moshannon",2117,40.84393,-78.108122,1,17,0,60,0,0,0,0
"bird862_11_june","11_jun","moshannon",2117,40.84296,-78.109367,0,20,0,10,0,0,0,0
"bird862_12_june","12_jun","moshannon",1632,40.842699,-78.108797,1,20,0,20,0,0,0,0
"bird862_12_june","12_jun","moshannon",1632,40.841136,-78.110762,0,20,0,65,0,0,0,0
"bird862_20_june","20_jun","moshannon",1642,40.84262,-78.10844,1,8,0,20,0,0,0,0
"bird862_20_june","20_jun","moshannon",1642,40.84154,-78.10595,0,20,0,55,0,0,0,15
"bird862_20_june","20_jun","moshannon",2230,40.842171,-78.108217,1,20,0,0,0,0,0,0
"bird862_20_june","20_jun","moshannon",2230,40.840058,-78.109947,0,20,0,60,0,0,10,0
"bird862_21_june","21_jun","moshannon",2103,40.84268,-78.10992,1,19,0,80,0,0,0,0
"bird862_21_june","21_jun","moshannon",2103,40.84382,-78.10874,0,0,0,20,0,5,0,0
"bird862_23_june","23_jun","moshannon",1744,40.845135,-78.107004,1,18,0,85,0,0,0,0
"bird862_23_june","23_jun","moshannon",1744,40.843045,-78.105587,0,20,0,0,0,0,0,0
"bird862_29_june","29_jun","moshannon",1633,40.843435,-78.107959,1,20,0,35,0,0,0,15
"bird862_29_june","29_jun","moshannon",1633,40.84376,-78.10777,0,7,0,10,5,40,0,15
"bird862_2_july","2_jul","moshannon",1802,40.84345,-78.10789,1,20,60,10,0,0,0,0
"bird862_2_july","2_jul","moshannon",1802,40.84398,-78.10548,0,10,25,45,0,15,0,0
"bird862_2_july","2_jul","moshannon",2145,40.8436303,-78.1080414,1,4,0,15,0,0,0,40
"bird862_2_july","2_jul","moshannon",2145,40.84397,-78.1083,0,12,10,45,0,0,0,0
"bird862_5_july","5_jul","moshannon",1808,40.84296,-78.10883,1,20,0,20,0,0,0,0
"bird862_5_july","5_jul","moshannon",1808,40.84158,-78.11017,0,20,0,0,0,0,0,0
"bird862_5_july","5_jul","moshannon",2041,40.84281,-78.108929,1,15,0,0,0,0,0,0
"bird862_5_july","5_jul","moshannon",2041,40.841972,-78.108987,0,20,0,0,0,0,0,0
"bird862_8_july","8_jul","moshannon",1437,40.84302,-78.10888,1,20,0,0,0,0,0,0
"bird862_8_july","8_jul","moshannon",1437,40.84389,-78.10934,0,18,0,40,0,0,0,0
"bird862_8_july","8_jul","moshannon",2111,40.84372,-78.108183,1,16,0,10,0,80,0,0
"bird862_8_july","8_jul","moshannon",2111,40.84483,-78.10701,0,16,0,35,0,45,0,0
"bird862_10_july","10_jul","moshannon",1442,40.842474,-78.10974,1,20,0,55,0,0,0,0
"bird862_10_july","10_jul","moshannon",1442,40.842187,-78.110212,0,20,0,0,0,0,0,0
"bird862_10_july","10_jul","moshannon",2047,40.842444,-78.109839,1,20,0,25,0,0,0,0
"bird862_10_july","10_jul","moshannon",2047,40.843822,-78.108911,0,12,0,65,0,20,0,0
"bird862_11_july","11_jul","moshannon",1702,40.84293,-78.108918,1,20,0,20,0,0,0,0
"bird862_11_july","22_jul","moshannon",1702,40.841278,-78.109369,0,20,0,0,0,0,0,0
"bird862_12_july","12_jul","moshannon",1928,40.84269,-78.10865,1,20,0,40,0,0,0,0
"bird862_12_july","12_jul","moshannon",1928,40.84354,-78.10685,0,10,0,45,0,0,0,20
"bird862_13_july","13_jul","moshannon",2051,40.84259,-78.10845,1,8,0,20,0,0,0,0
"bird862_13_july","13_jul","moshannon",2051,40.8423,-78.10651,0,6,0,10,0,40,0,0
"bird862_14_july","14_jul","moshannon",2113,40.843809,-78.107675,1,0,0,35,0,60,0,0
"bird862_14_july","14_jul","moshannon",2113,40.843945,-78.109056,0,8,0,75,0,0,0,0
"bird890_3_june","3_jun","moshannon",2035,40.841558,-78.1148,1,20,0,0,0,0,0,0
"bird890_3_june","3_jun","moshannon",2035,40.84341,-78.1094,0,17,10,30,0,0,0,20
"bird890_4_june","4_jun","moshannon",1530,40.84136,-78.109048,1,20,0,0,0,0,0,0
"bird890_4_june","4_jun","moshannon",1530,40.84278,-78.108322,0,20,0,5,0,0,0,0
"bird890_10_june","10_jun","moshannon",1854,40.842443,-78.112468,1,20,0,0,0,0,0,0
"bird890_10_june","10_jun","moshannon",1854,40.842642,-78.112904,0,20,0,30,0,0,0,0
"bird912_2_june","2_jun","moshannon",1921,40.84436,-78.10992,1,7,5,35,0,40,0,0
"bird912_2_june","2_jun","moshannon",1921,40.844244,-78.10961,0,17,0,100,0,0,0,0
"bird912_5_june","5_jun","moshannon",1522,40.843411,-78.110139,1,20,0,75,0,0,0,0
"bird912_5_june","5_jun","moshannon",1522,40.8639,-78.10802,0,18,0,65,0,0,0,0
"bird912_6_june","6_jun","moshannon",2007,40.842796,-78.110733,1,20,0,0,0,0,0,0
"bird912_6_june","6_jun","moshannon",2007,40.84195,-78.10832,0,19,0,0,0,0,0,0
"bird912_10_june","10_jun","moshannon",1733,40.847767,-78.106939,1,20,0,0,0,20,0,0
"bird912_10_june","10_jun","moshannon",1733,40.84834,-78.108069,0,20,0,0,0,5,0,0
"bird912_12_june","12_jun","moshannon",1727,40.847914,-78.106939,1,20,0,70,0,0,0,0
"bird912_12_june","12_jun","moshannon",1727,40.847317,-78.107312,0,20,0,0,0,0,0,100
"bird912_13_june","13_jun","moshannon",2043,40.84272,-78.110543,1,19,35,30,0,0,0,0
"bird912_13_june","13_jun","moshannon",2043,40.84237,-78.11076,0,20,0,0,0,0,0,0
"bird912_16_june","16_jun","moshannon",2117,40.843581,-78.111084,1,20,0,50,0,0,0,0
"bird912_16_june","16_jun","moshannon",2117,40.844113,-78.112769,0,20,0,60,0,0,0,0
"bird912_20_june","20_jun","moshannon",2127,40.842958,-78.110574,1,20,0,5,0,0,0,0
"bird912_20_june","20_jun","moshannon",2127,40.84264,-78.11141,0,14,30,0,40,10,0,20
"bird912_21_june","21_jun","moshannon",2127,40.84354,-78.11168,1,20,0,15,0,5,0,20
"bird912_21_june","21_jun","moshannon",2127,40.843445,-78.112443,0,20,0,55,0,40,0,0
"bird912_24_june","24_jun","moshannon",2130,40.8436,-78.11166,1,20,0,15,0,5,0,20
"bird912_24_june","24_jun","moshannon",2130,40.845062,-78.110031,0,0,0,85,0,0,0,0
"bird912_27_june","27_jun","moshannon",1730,40.843411,-78.11014,1,20,0,5,0,0,0,0
"bird912_27_june","27_jun","moshannon",1730,40.84304,-78.109573,0,20,0,60,0,0,0,0
"bird912_2_july","2_jul","moshannon",2126,40.84363,-78.11082,1,1,0,60,0,0,0,10
"bird912_2_july","2_jul","moshannon",2126,40.84346,-78.11015,0,18,0,40,0,50,0,5
"bird912_3_july","3_jul","moshannon",2125,40.84438,-78.1106,1,0,80,5,0,15,0,0
"bird912_3_july","3_jul","moshannon",2125,40.84293,-78.110383,0,20,0,10,0,0,0,0
"bird912_5_july","5_jul","moshannon",1947,40.84782,-78.10674,1,20,0,0,0,0,0,0
"bird912_5_july","5_jul","moshannon",1947,40.847494,-78.107759,0,20,0,0,0,0,0,0
"bird912_5_july","5_jul","moshannon",2124,40.8445,-78.110704,1,0,10,0,30,55,0,5
"bird912_5_july","5_jul","moshannon",2124,40.845486,-78.110757,0,17,0,70,0,10,0,0
"bird912_8_july","8_jul","moshannon",1427,40.847424,-78.106274,1,20,0,75,0,0,0,5
"bird912_8_july","8_jul","moshannon",1427,40.847781,-78.106197,0,20,0,75,0,0,0,0
"bird912_8_july","8_jul","moshannon",2118,40.844662,-78.110817,1,0,5,0,20,55,0,0
"bird912_8_july","8_jul","moshannon",2118,40.842656,-78.111935,0,14,0,0,0,0,0,0
"bird912_10_july","10_jul","moshannon",1541,40.84717,-78.10638,1,4,0,15,0,0,0,0
"bird912_10_july","10_jul","moshannon",1541,40.841766,-78.104729,0,20,0,0,0,0,0,0
"bird912_11_july","11_jul","moshannon",1851,40.84802,-78.10732,1,20,0,70,0,0,0,15
"bird912_11_july","11_jul","moshannon",1851,40.846419,-78.107765,0,20,0,80,0,0,0,0
"bird912_12_july","12_jul","moshannon",1738,40.846869,-78.105529,1,20,0,95,0,0,0,0
"bird912_12_july","12_jul","moshannon",1738,40.846697,-78.104005,0,10,0,40,0,10,0,0
"bird912_13_july","13_jul","moshannon",1358,40.84685,-78.10549,1,20,0,95,0,0,0,0
"bird912_13_july","13_jul","moshannon",1358,40.845884,-78.103387,0,0,0,45,0,0,0,0
"bird912_14_july","14_jul","moshannon",1541,40.84685,-78.10477,1,7,0,25,0,25,0,0
"bird912_14_july","14_jul","moshannon",1541,40.848531,-78.104956,0,7,0,0,0,0,0,0
"bird912_15_july","15_jul","moshannon",1917,40.843374,-78.110276,1,17,0,45,0,0,0,0
"bird912_15_july","15_jul","moshannon",1917,40.84266,-78.11021,0,12,10,10,0,0,0,0
"bird932_3_june","3_jun","moshannon",1854,40.85954,-78.07088,1,20,0,5,0,0,0,0
"bird932_3_june","3_jun","moshannon",1854,40.85939,-78.071134,0,0,85,0,10,5,0,0
"bird932_4_june","4_jun","moshannon",1638,40.859799,-78.070565,1,20,0,70,0,10,0,0
"bird932_4_june","4_jun","moshannon",1638,40.858247,-78.072778,0,8,0,20,0,0,0,0
"bird932_6_june","6_jun","moshannon",1943,40.858612,-78.107686,1,13,0,45,0,0,0,0
"bird932_6_june","6_jun","moshannon",1943,40.858541,-78.072626,0,19,0,0,0,0,0,0
"bird932_7_june","7_jun","moshannon",1538,40.8580618,-78.072295,1,20,5,55,0,0,0,0
"bird932_7_june","7_jun","moshannon",1538,40.857182,-78.06985,0,14,0,15,0,0,0,0
"bird932_10_june","10_jun","moshannon",1625,40.858083,-78.072751,1,17,0,5,0,0,0,0
"bird932_10_june","10_jun","moshannon",1625,40.859712,-78.074062,0,9,0,75,5,10,0,5
"bird932_11_june","11_jun","moshannon",2047,40.858868,-78.070216,1,18,10,15,0,0,0,0
"bird932_11_june","11_jun","moshannon",2047,40.859325,-78.070389,0,10,0,10,35,55,0,0
"bird932_12_june","12_jun","moshannon",1600,40.859477,-78.070716,1,20,10,40,0,0,0,0
"bird932_12_june","12_jun","moshannon",1600,40.860847,-78.069261,0,6,0,40,0,5,0,0
"bird932_16_june","16_jun","moshannon",2031,40.859608,-78.070074,1,0,0,50,35,15,0,0
"bird932_16_june","16_jun","moshannon",2031,40.838558,-78.072559,0,20,0,20,0,0,0,0
"bird932_20_june","20_jun","moshannon",1700,40.858318,-78.073043,1,20,0,15,0,0,0,0
"bird932_20_june","20_jun","moshannon",1700,40.857929,-78.075463,0,20,0,20,0,0,0,0
"bird932_20_june","20_jun","moshannon",2042,40.858692,-78.072578,1,20,0,0,0,0,0,0
"bird932_20_june","20_jun","moshannon",2042,40.858821,-78.075012,0,18,0,0,0,0,0,15
"bird932_22_june","22_jun","moshannon",1656,40.86133,-78.071693,1,20,0,0,0,55,0,0
"bird932_22_june","22_jun","moshannon",1656,40.86159,-78.07323,0,12,0,45,0,0,0,0
"bird932_2_july","2_jul","moshannon",2042,40.85979,-78.07021,1,1,0,85,0,0,0,0
"bird932_2_july","2_jul","moshannon",2042,40.859173,-78.068689,0,20,0,90,0,10,0,0
"bird932_3_july","3_jul","moshannon",2038,40.857675,-78.071199,1,20,0,50,0,0,0,0
"bird932_3_july","3_jul","moshannon",2038,40.857773,-78.072249,0,17,0,50,0,0,0,0
"bird932_7_july","7_jul","moshannon",1833,40.859868,-78.070108,1,1,15,75,0,0,0,0
"bird932_7_july","7_jul","moshannon",1833,40.858916,-78.068804,0,1,0,85,0,0,0,0
"bird932_8_july","8_jul","moshannon",1925,40.8599028,-78.070104,1,1,15,75,0,0,0,0
"bird932_8_july","8_jul","moshannon",1925,40.857694,-78.070212,0,5,80,0,5,15,0,0
"bird932_8_july","8_jul","moshannon",2141,40.859865,-78.070052,1,4,0,85,0,0,0,0
"bird932_8_july","8_jul","moshannon",2141,40.8601,-78.06996,0,8,0,50,0,5,0,0
"bird932_9_july","9_jul","moshannon",1605,40.859102,-78.066203,1,10,0,100,0,0,0,0
"bird932_9_july","9_jul","moshannon",1605,40.860486,-78.066836,0,0,10,85,0,0,0,0
"bird932_10_july","10_jul","moshannon",2002,40.85875,-78.07217,0,11,0,40,0,0,0,0
"bird932_10_july","10_jul","moshannon",1519,40.860017,-78.070302,0,7,5,80,5,5,0,0
"bird932_11_july","11_jul","moshannon",1930,40.860099,-78.069712,1,3,0,65,0,10,0,0
"bird932_11_july","11_jul","moshannon",1930,40.858964,-78.068234,0,0,0,90,0,0,0,0
"bird932_11_july","11_jul","moshannon",2128,40.861412,-78.072295,1,16,0,100,0,0,0,0
"bird932_11_july","11_jul","moshannon",2128,40.861,-78.07178,0,20,0,0,0,0,0,0
"bird520_5_june","5_jun","michaux",847,39.946742,-77.493624,1,8,0,50,0,0,0,0
"bird520_1_june","1_jun","michaux",1111,39.948026,-77.493785,1,19,0,3,0,0,0,0
"bird514_30_may","30_may","michaux",1350,39.947898,-77.494355,1,20,0,20,0,3,0,0
"bird523_4_june","4_jun","michaux",1420,39.9570361,-77.502453,1,4,0,95,0,0,0,0
"bird524_1_june","1_jun","michaux",1355,39.956243,-77.482878,1,12,0,15,0,1,0,0
"bird524_4_june","4_jun","michaux",1128,39.952851,-77.482814,1,10,0,50,0,0,0,0
"bird514_1_june","1_jun","michaux",1202,39.9482353,-77.494795,1,6,0,25,0,0,1,0
"bird525_5_june","5_jun","michaux",1104,39.951784,-77.484774,1,16,0,95,0,0,0,0
